Time(s),Time(m),"Roll (deg, +ve R)","Pitch (deg, +ve UP)",Heave (m),Heave Velocity (m/s),AX (m/s^2),AY (m/s^2),AZ (m/s^2),Vessel heading (degT),SOG (knots),COG (M deg),STATUS_MRU (1=OK),STATUS_GYRO (1=OK),STATUS_WIND (1=OK),STATUS_GPS (SOG_VOG) (1=OK),GPS Lat,GPS Lon,Visibility,Air Pressure,Air Temperature,Air Humidity,WX code,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct,Cloud layer 1 altitude,Cloud layer 1 oct
0,0,-0.0565,-0.0625,0.414,0.424,-0.02,-0.058,5.047,330.17,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
0.5,0,-0.0265,-0.1355,0.5805,0.414,-0.0065,-0.094,5.007,330.07,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
1,0,0.0155,-0.217,0.7035,0.376,0.017,-0.1115,4.955,330.07,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
1.5,0,0.0675,-0.3045,0.775,0.3145,0.04,-0.112,4.9005,329.97,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
2,0,0.126,-0.392,0.79,0.2245,0.0735,-0.092,4.828,329.97,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
2.5,0,0.189,-0.4725,0.744,0.112,0.1035,-0.054,4.7575,329.97,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
3,0.1,0.247,-0.5395,0.6355,-0.0235,0.1375,-0.012,4.6705,329.97,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
3.5,0.1,0.297,-0.584,0.4655,-0.1735,0.158,0.028,4.6065,330.07,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
4,0.1,0.3335,-0.598,0.242,-0.3255,0.1745,0.0735,4.5555,330.07,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
4.5,0.1,0.352,-0.574,-0.0215,-0.463,0.1745,0.1155,4.5475,330.27,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
5,0.1,0.349,-0.513,-0.3035,-0.5635,0.1575,0.169,4.582,330.27,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
5.5,0.1,0.3235,-0.4175,-0.5755,-0.6115,0.117,0.2005,4.67,330.37,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
6,0.1,0.2745,-0.2965,-0.8065,-0.589,0.064,0.218,4.795,330.37,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
6.5,0.1,0.2075,-0.1625,-0.966,-0.498,0.005,0.192,4.9475,330.37,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
7,0.1,0.1275,-0.03,-1.0285,-0.334,-0.0555,0.1385,5.1125,330.37,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
7.5,0.1,0.0465,0.0835,-0.979,-0.126,-0.0945,0.067,5.236,330.37,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
8,0.1,-0.024,0.167,-0.8185,0.1065,-0.129,-0.0015,5.3405,330.37,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
8.5,0.1,-0.076,0.2045,-0.561,0.3285,-0.1275,-0.0685,5.356,330.27,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
9,0.2,-0.0995,0.196,-0.238,0.511,-0.1225,-0.1075,5.347,330.27,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
9.5,0.2,-0.0915,0.139,0.1155,0.6355,-0.085,-0.1355,5.257,330.17,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
10,0.2,-0.0535,0.045,0.4545,0.6775,-0.041,-0.1485,5.1365,330.17,0,0,85,1,1,1,59.60151,5.4591311,3000,1005,20,80,+SHRA,1000,1,2000,2,3000,3,4000,4
